weight_tons,distance_km,transport_mode,carbon_emissions_kg
36.5,1750.5,Air,77555.3
41.9,2191.1,Truck,9296.18
41.5,1085.7,Rail,954.17
25.7,2611.0,Rail,1499.54
35.9,874.4,Sea,499.56
48.5,1715.7,Truck,8488.38
8.0,898.5,Sea,109.31
24.3,1320.6,Truck,3223.69
37.9,2712.3,Truck,11093.3
15.5,2053.2,Rail,710.08
17.0,97.3,Truck,181.53
31.4,843.0,Truck,2916.11
40.7,1304.4,Sea,838.5
39.7,1381.7,Truck,5805.05
41.2,358.1,Rail,335.19
22.3,458.7,Rail,234.38
26.2,1907.0,Truck,5311.09
33.2,250.2,Air,10155.32
2.6,2845.5,Sea,122.71
25.6,1834.4,Sea,748.29
14.5,766.8,Sea,175.04
14.3,516.1,Truck,799.88
46.5,2560.6,Rail,2534.08
20.0,2453.3,Air,60822.18
32.4,240.4,Truck,833.62
49.0,1112.2,Rail,1252.89
12.7,1418.7,Rail,387.68
7.3,1859.0,Truck,1424.06
42.2,2577.6,Air,131906.55
29.7,1371.7,Sea,621.34
44.1,1574.6,Air,88675.8
2.6,1917.6,Truck,532.38
43.2,1334.7,Truck,6340.52
14.4,1952.6,Sea,452.99
25.3,2634.4,Rail,1441.48
30.3,59.7,Rail,38.16
29.9,172.5,Rail,113.77
12.5,748.7,Air,12053.94
42.2,2955.1,Truck,13071.16
46.3,269.2,Air,15925.76
23.4,709.2,Rail,370.3
40.0,2937.1,Air,145784.03
11.5,2757.3,Sea,532.52
20.8,1480.5,Air,37555.54
43.9,1313.9,Sea,884.34
24.1,1003.9,Rail,509.79
29.7,1811.3,Sea,875.1
24.6,1810.3,Air,54186.26
35.7,1395.7,Sea,775.86
23.6,2604.7,Rail,1360.26
15.6,2425.3,Air,47661.67
30.2,2150.7,Rail,1496.72
41.8,914.9,Sea,634.08
7.0,2867.2,Air,25397.29
23.0,281.8,Truck,699.59
2.3,2870.6,Air,8009.02
12.1,455.7,Sea,84.8
26.1,156.8,Air,5120.58
22.7,1171.3,Truck,2859.42
10.0,763.2,Air,9513.84
13.6,1934.4,Air,31806.57
48.1,775.3,Truck,4103.4
35.0,2716.0,Truck,9528.53
43.4,851.8,Truck,3892.61
8.1,239.1,Rail,43.42
42.4,2744.6,Rail,2626.9
18.4,1477.9,Truck,2961.13
28.5,2860.7,Rail,1746.95
16.7,543.5,Sea,143.08
13.6,2123.5,Rail,603.78
31.3,2868.6,Rail,1897.29
49.1,2496.9,Sea,1976.03
30.5,1343.4,Sea,688.13
34.8,2947.7,Truck,11227.02
43.0,2385.3,Sea,1693.13
41.2,2128.0,Sea,1404.6
1.2,2858.5,Sea,57.29
17.6,2998.3,Sea,860.53
2.6,2955.4,Truck,775.1
36.2,1357.0,Rail,1050.07
4.8,2311.1,Truck,1189.01
24.9,2266.0,Truck,5637.47
27.5,624.5,Sea,275.24
5.8,661.0,Sea,60.2
34.0,1807.9,Sea,1004.38
1.4,1991.0,Truck,288.52
4.6,2519.8,Rail,257.47
38.1,140.6,Air,6926.92
24.4,2528.7,Truck,6676.07
44.2,894.0,Air,48166.18
31.3,771.8,Rail,511.01
23.6,1719.2,Sea,660.1
29.2,1844.7,Rail,1140.55
28.3,212.8,Sea,93.54
12.8,1844.9,Rail,506.73
39.5,632.4,Truck,2551.4
16.2,1472.6,Truck,2578.13
23.7,126.0,Rail,68.15
10.5,1156.4,Air,14978.47
42.3,507.5,Sea,334.92
15.7,1754.7,Truck,2901.07
13.4,1861.3,Rail,523.28
43.9,518.4,Sea,370.84
11.4,671.3,Rail,163.03
10.0,2639.6,Rail,579.76
26.8,769.4,Truck,2089.12
41.1,2237.3,Rail,2033.73
4.4,813.5,Rail,82.21
10.5,2240.5,Rail,509.19
46.2,393.1,Sea,284.89
11.8,279.0,Air,4098.07
5.1,1978.9,Rail,228.33
24.9,1778.1,Air,52581.18
43.4,1526.2,Rail,1481.11
27.9,2942.7,Rail,1831.1
37.3,291.3,Rail,227.62
30.1,2960.1,Air,115359.04
20.5,211.1,Sea,71.16
16.9,2147.4,Air,46338.67
28.7,1974.1,Truck,5831.25
6.4,950.1,Sea,96.86
46.4,2593.0,Sea,1831.38
9.2,816.2,Air,9080.34
40.4,990.5,Sea,612.75
42.0,2821.6,Truck,13044.41
37.4,2951.7,Sea,1833.32
13.3,1313.1,Truck,1900.53
15.6,2719.5,Truck,4615.4
28.3,716.0,Air,26208.05
24.7,1429.9,Rail,744.58
9.8,1168.8,Air,13686.41
16.6,913.8,Sea,245.23
22.2,2899.0,Sea,1046.88
42.5,1175.3,Rail,1046.08
15.6,2620.2,Rail,910.35
15.6,1944.4,Truck,3301.96
34.2,1862.4,Rail,1344.05
31.7,2954.5,Truck,9880.51
36.3,1272.9,Truck,4881.08
31.0,2790.0,Sea,1366.24
20.6,1477.4,Rail,679.02
1.8,692.4,Rail,27.05
49.2,912.7,Sea,712.38
15.2,1534.3,Rail,516.94
23.2,2978.0,Sea,1052.74
21.5,2464.2,Sea,834.53
10.1,764.4,Truck,817.97
17.9,2747.2,Truck,4923.75
17.5,1643.4,Truck,3079.84
41.8,163.6,Rail,152.86
35.8,1833.9,Truck,6984.13
15.5,2397.5,Rail,802.93
42.0,2082.0,Truck,8856.8
44.5,216.2,Sea,148.61
21.8,2577.1,Truck,6043.42
43.4,770.6,Truck,3358.96
6.2,2532.8,Sea,247.46
6.4,2524.1,Truck,1617.5
12.8,1043.2,Rail,286.71
27.6,2508.9,Truck,7089.6
8.0,1391.5,Rail,256.02
25.0,2157.4,Truck,5547.58
27.5,674.9,Truck,1967.7
11.1,1224.0,Air,16221.93
19.8,2201.4,Truck,4470.37
37.2,827.6,Rail,707.87
6.6,342.8,Sea,36.04
21.0,2898.6,Sea,967.36
13.0,1422.5,Truck,1919.75
30.0,1354.3,Rail,874.57
38.0,704.9,Truck,2748.24
30.8,1753.0,Sea,848.24
39.3,1088.2,Rail,937.63
33.3,1986.8,Air,80908.45
10.6,1233.8,Truck,1366.48
3.3,1693.5,Air,7146.56
2.4,2173.3,Truck,547.05
26.7,2154.7,Air,72948.22
43.3,177.9,Sea,124.93
8.7,1975.5,Sea,277.22
48.1,290.6,Truck,1493.84
20.6,1185.2,Truck,2609.32
27.0,922.9,Sea,381.97
31.2,2633.5,Sea,1337.73
1.7,1578.2,Air,3433.79
23.5,1370.5,Sea,519.63
47.9,228.8,Air,13511.95
38.1,599.4,Truck,2317.51
43.2,505.8,Air,27255.31
29.0,2477.4,Truck,7815.07
2.7,600.3,Rail,35.78
5.1,2831.3,Sea,221.4
43.1,2708.4,Sea,1893.51
12.6,1138.2,Air,18785.43
41.1,220.0,Truck,951.16
47.3,472.9,Air,27879.74
10.0,1806.0,Truck,1944.22
18.5,890.9,Truck,1741.56
11.1,236.0,Truck,279.15
12.0,2498.5,Sea,469.48
7.3,2432.7,Truck,1847.46
31.6,1255.3,Truck,3965.2
24.5,459.4,Truck,1186.68
8.0,1397.3,Sea,176.02
43.5,198.5,Truck,893.82
5.4,487.2,Sea,43.93
22.5,2282.1,Air,64814.49
3.1,543.0,Rail,35.34
11.4,2926.7,Rail,706.41
13.2,1421.7,Rail,399.95
47.7,1020.8,Truck,5195.11
26.1,981.5,Rail,581.07
24.9,1554.3,Sea,600.28
13.5,258.4,Truck,366.96
49.7,2742.1,Truck,13993.42
22.1,2086.7,Air,56655.32
18.4,2215.6,Rail,863.91
37.3,344.5,Sea,204.06
5.0,1958.4,Rail,218.99
15.4,1087.9,Truck,1842.6
21.4,1440.1,Sea,487.64
19.4,154.4,Truck,309.91
17.3,2454.6,Air,55233.61
16.5,467.9,Rail,162.84
36.1,1502.9,Truck,5827.1
42.1,1451.6,Rail,1313.59
28.0,1885.9,Air,68078.42
28.6,538.8,Truck,1569.98
16.1,1703.8,Rail,577.76
35.8,492.3,Rail,392.62
20.3,2337.3,Rail,1063.19
20.1,2651.7,Sea,854.28
28.4,255.6,Air,9078.74
49.4,893.8,Air,57772.19
14.8,2148.3,Truck,3423.71
6.1,93.8,Air,708.56
3.1,195.8,Sea,9.71
43.3,1864.4,Air,99720.94
15.9,1092.9,Rail,390.84
6.3,1201.6,Air,9411.45
40.0,2498.4,Truck,10679.83
46.1,2202.1,Truck,10906.07
2.5,1915.8,Rail,106.49
32.7,2422.8,Sea,1244.43
31.9,2652.2,Rail,1898.11
5.0,2665.2,Air,15982.53
29.2,324.3,Air,11618.11
31.1,581.9,Sea,279.22
23.0,1866.9,Sea,677.89
37.1,2692.1,Truck,10908.88
47.8,1110.4,Air,65170.6
40.2,668.8,Truck,2820.47
18.9,1694.1,Sea,490.94
45.8,1196.6,Truck,5829.47
2.8,748.8,Rail,43.89
38.4,2138.6,Air,107695.81
25.9,1395.0,Rail,762.17
47.8,2231.9,Rail,2445.67
38.5,398.3,Rail,320.78
8.1,1775.9,Air,17453.2
19.3,792.3,Air,18707.2
47.4,1267.2,Air,76674.68
15.2,2103.1,Air,40944.14
38.4,724.5,Sea,455.88
37.2,2691.8,Air,127545.06
10.1,2018.0,Rail,428.34
12.5,206.7,Sea,39.61
48.5,2808.6,Rail,2961.79
44.8,2046.7,Air,114025.89
1.7,2048.1,Sea,56.31
49.1,1986.2,Sea,1529.48
23.8,1517.4,Sea,565.42
41.9,1719.0,Sea,1191.38
2.6,1310.7,Truck,363.8
12.6,2154.2,Truck,2751.9
31.0,1159.9,Truck,3761.62
8.3,2764.7,Rail,506.0
3.8,1209.6,Truck,499.93
49.7,2697.4,Air,168611.9
35.4,1624.4,Rail,1255.38
9.0,1724.4,Air,19832.86
37.4,1777.5,Truck,6773.06
29.8,2983.0,Sea,1466.76
26.8,1894.0,Air,63820.43
20.1,193.2,Sea,63.26
45.9,812.7,Air,47329.99
29.1,2229.1,Truck,6707.14
39.8,2434.5,Sea,1545.21
47.2,2241.8,Sea,1714.45
24.3,1946.8,Truck,5205.44
11.3,2968.9,Air,42106.4
34.7,2144.8,Rail,1582.25
18.7,2359.1,Truck,4746.59
36.2,1703.2,Rail,1365.21
44.3,1169.9,Sea,806.99
38.4,1851.1,Truck,7122.65
30.7,2219.6,Rail,1436.51
31.1,2440.7,Air,99217.43
22.0,2299.5,Rail,1097.86
48.3,621.5,Rail,670.64
28.6,2499.8,Rail,1508.13
36.8,500.0,Sea,291.74
14.1,2538.8,Truck,3629.58
11.0,665.9,Truck,771.05
3.9,2574.0,Sea,159.89
15.5,1845.3,Sea,449.72
33.4,348.7,Sea,185.03
35.0,2867.5,Truck,10544.17
44.2,1549.7,Air,88215.85
42.4,270.4,Air,14781.46
2.6,2916.8,Truck,759.9
24.5,328.4,Rail,174.23
29.3,1172.0,Rail,721.4
22.2,654.1,Air,18317.65
5.4,1344.0,Air,9370.9
28.8,888.1,Sea,413.93
18.0,2489.4,Sea,719.94
2.2,2346.6,Rail,108.2
20.6,2488.8,Sea,791.05
28.2,2500.0,Rail,1585.98
28.9,214.1,Sea,99.88
15.9,2207.1,Air,42314.94
12.9,1277.6,Sea,251.44
17.5,718.1,Truck,1263.15
10.7,849.6,Truck,958.61
15.6,414.3,Air,7724.87
12.3,2964.0,Truck,3899.26
7.1,1826.0,Truck,1298.47
29.6,855.6,Rail,542.48
29.3,1508.9,Truck,4742.39
16.1,276.2,Sea,72.78
4.9,2735.6,Sea,213.15
27.4,775.0,Air,27153.52
48.2,2443.9,Air,150332.72
45.9,2919.8,Rail,2984.9
45.6,1572.2,Sea,1156.92
18.3,577.9,Rail,223.76
38.9,2430.1,Sea,1483.36
35.0,1794.7,Air,80198.57
3.1,172.3,Rail,12.32
11.9,2117.0,Rail,571.58
16.5,1799.9,Rail,662.83
27.0,1016.1,Air,34800.57
6.1,2535.8,Rail,343.73
47.0,259.8,Truck,1219.16
19.3,602.8,Sea,193.12
8.8,116.6,Air,1309.46
48.5,2627.2,Sea,2117.52
21.0,181.0,Rail,80.72
43.5,2813.2,Rail,2728.04
12.9,1769.5,Truck,2279.16
6.9,445.6,Truck,315.15
30.1,1875.3,Air,74047.94
43.6,1865.3,Rail,1819.41
12.2,492.8,Air,7812.37
26.3,2814.5,Air,90757.29
27.6,1581.3,Truck,4585.29
49.2,1996.2,Sea,1566.07
15.0,2297.1,Sea,560.72
2.8,2413.5,Air,8375.72
14.5,1349.2,Air,24621.83
42.0,776.1,Rail,749.28
25.0,1329.8,Air,41932.78
3.8,849.0,Rail,74.19
14.4,1825.5,Sea,433.17
7.7,2762.5,Air,25717.16
11.1,868.1,Rail,214.41
22.3,288.7,Rail,146.63
21.5,1485.4,Rail,686.36
13.1,421.9,Rail,119.64
13.2,1802.6,Rail,529.0
16.1,2744.7,Air,56637.75
16.4,1868.5,Sea,504.73
33.1,2642.1,Sea,1390.0
38.2,797.5,Sea,505.46
36.2,2287.1,Truck,8434.18
31.0,249.6,Sea,126.53
30.7,366.8,Air,14052.71
22.0,2984.6,Air,78509.71
33.7,1212.7,Sea,669.12
16.9,2061.0,Truck,3692.71
34.9,2802.9,Rail,2109.02
18.6,1099.3,Rail,465.26
29.4,608.8,Sea,294.53
9.8,2932.0,Rail,649.69
21.9,2419.8,Sea,827.66
31.5,2151.4,Air,86044.01
2.8,353.0,Truck,105.48
35.4,1673.0,Truck,6363.24
29.2,2328.1,Air,88768.7
36.3,839.9,Rail,695.31
26.2,1338.0,Air,45029.64
17.7,554.8,Sea,162.88
31.5,1396.3,Truck,4434.54
49.9,1884.4,Rail,2104.39
12.8,91.0,Truck,124.51
13.8,2240.2,Rail,678.62
48.2,282.5,Sea,213.28
10.5,1337.0,Air,18190.04
2.5,263.6,Air,828.67
26.5,776.9,Sea,326.55
7.7,1245.6,Rail,212.7
2.3,1325.0,Rail,64.14
21.9,1219.8,Truck,2845.91
26.0,1287.1,Air,40045.29
4.1,2791.6,Air,13668.4
3.4,2059.7,Rail,154.15
48.5,1434.9,Sea,1147.81
9.4,649.1,Air,7754.71
17.3,1458.7,Truck,2547.15
12.5,1847.9,Rail,527.85
48.1,938.5,Rail,1006.19
17.5,796.6,Truck,1423.61
16.1,740.2,Rail,258.8
20.7,183.0,Air,4588.53
26.0,2131.4,Sea,858.22
7.0,1916.6,Rail,296.74
39.3,2088.8,Air,105448.92
38.5,2522.0,Rail,2216.04
29.2,453.9,Air,17039.31
46.7,2735.0,Rail,2680.12
13.4,1496.9,Truck,2123.32
14.7,1913.3,Rail,610.65
16.4,2810.8,Truck,4655.75
38.1,753.9,Rail,656.54
10.5,746.0,Sea,124.85
45.9,573.5,Rail,556.75
15.7,1571.4,Air,31374.98
31.1,2123.9,Air,80591.05
13.7,2460.5,Air,41895.43
27.0,1653.1,Rail,1000.65
37.4,535.6,Air,25660.88
3.2,1532.3,Truck,492.96
39.0,2404.0,Air,114546.93
27.7,2668.7,Air,89365.15
26.6,796.0,Truck,2246.0
17.5,129.3,Air,2727.86
39.7,1135.5,Truck,4885.66
36.6,1967.9,Air,88807.38
29.3,1613.5,Truck,5137.27
36.2,2423.1,Air,114699.63
6.7,870.6,Truck,626.48
20.5,1181.5,Rail,548.51
23.7,1445.8,Air,42855.02
47.1,2872.7,Sea,2270.55
37.8,96.9,Air,4416.07
27.6,1279.9,Sea,588.77
20.2,2978.9,Truck,6493.78
23.0,1691.2,Truck,3978.48
21.1,1630.6,Air,40903.64
36.7,222.0,Truck,813.76
1.4,2294.6,Sea,51.12
15.1,2019.8,Truck,3054.04
8.7,284.4,Truck,263.37
17.7,2874.7,Rail,1113.43
2.4,1611.8,Rail,86.83
46.7,2601.2,Air,147084.89
23.8,1000.6,Truck,2606.05
24.8,1977.5,Rail,1031.45
45.2,1804.4,Truck,8635.22
30.7,1510.7,Rail,1022.07
8.7,743.6,Rail,135.53
40.1,1091.7,Air,52268.13
18.9,349.9,Rail,151.15
11.3,1333.3,Sea,244.13
47.9,2935.1,Air,172630.23
27.2,160.9,Sea,66.55
40.0,2978.3,Sea,1858.62
6.3,2716.8,Truck,1847.91
38.9,1428.1,Sea,884.95
23.3,1891.3,Rail,958.74
17.2,1558.5,Rail,565.93
11.0,2729.2,Sea,460.77
39.6,207.4,Sea,126.28
16.3,2929.4,Air,62327.23
13.5,1317.3,Sea,287.96
10.7,2997.4,Rail,677.52
25.7,114.0,Sea,44.69
40.5,2170.3,Air,107644.92
26.3,2028.1,Truck,5679.25
37.5,1847.5,Truck,7339.39
48.9,2246.5,Truck,11282.46
23.7,1252.6,Truck,3077.07
46.1,922.4,Sea,682.14
37.0,1546.9,Truck,5943.73
38.8,570.7,Sea,355.94
4.6,1563.9,Truck,720.32
22.7,1461.0,Sea,512.22
7.5,2277.0,Rail,360.21
3.8,1578.3,Air,7748.79
35.7,2579.0,Rail,2036.63
35.4,1475.0,Truck,5564.16
21.2,2231.7,Sea,726.25
14.1,347.3,Rail,106.67
3.0,1430.9,Sea,68.57
30.3,2763.4,Truck,8932.22
4.7,1171.3,Rail,126.92
38.2,246.6,Air,12068.64
11.4,1293.7,Rail,325.46
5.6,1916.2,Truck,1083.58
17.0,2391.2,Sea,672.66
41.9,161.0,Sea,105.6
30.8,2302.3,Air,92408.15
39.1,2550.4,Rail,2146.35
24.8,2402.9,Truck,6375.25
17.1,2264.0,Rail,834.93
29.2,2844.7,Sea,1280.38
42.8,651.0,Sea,453.1
33.6,2790.6,Air,118446.64
25.7,1503.2,Rail,855.76
4.7,907.4,Sea,66.62
15.6,864.7,Truck,1444.86
22.0,948.9,Truck,2107.07
31.9,1996.0,Sea,995.3
13.8,570.9,Rail,181.19
40.9,1444.3,Rail,1282.13
35.4,2633.5,Air,112158.05
45.0,1643.6,Sea,1132.92
26.5,605.9,Air,20620.84
13.0,1492.5,Air,24386.7
7.9,631.0,Truck,509.08
43.7,1777.2,Sea,1289.55
28.7,954.7,Rail,603.33
23.8,1665.0,Sea,619.55
28.7,1635.1,Rail,1052.35
35.7,1473.5,Rail,1206.88
10.9,641.0,Air,9070.18
40.9,1579.2,Sea,1074.43
18.9,2414.4,Truck,4742.17
49.0,1279.3,Truck,6519.84
4.1,485.9,Rail,44.89
8.4,545.6,Air,5743.71
5.2,66.1,Truck,36.06
33.2,1955.4,Sea,1066.68
26.4,405.9,Truck,1141.71
26.2,2157.8,Rail,1231.15
3.5,2717.1,Truck,978.71
19.4,2625.2,Truck,5344.21
11.5,1821.2,Air,26947.87
46.1,2404.2,Rail,2520.85
9.0,748.3,Truck,689.15
28.1,631.4,Rail,380.93
31.4,1228.1,Sea,600.84
9.8,499.1,Sea,79.06
35.9,2734.8,Air,125833.67
46.8,73.4,Truck,344.96
36.1,2147.1,Sea,1206.7
17.6,1738.5,Rail,661.79
43.7,1556.1,Truck,7480.93
19.5,1802.8,Air,45772.43
25.1,2318.1,Sea,946.88
34.3,778.4,Air,33199.05
24.1,149.4,Truck,396.88
7.2,1152.9,Sea,127.68
34.5,1135.5,Sea,602.76
28.3,2441.1,Rail,1456.82
24.5,2611.8,Air,81084.36
40.4,355.9,Sea,240.08
2.2,1876.7,Rail,95.28
12.1,180.0,Truck,217.89
27.3,2749.2,Truck,8198.36
6.7,2533.1,Air,20906.98
42.8,332.7,Truck,1526.2
40.4,1278.3,Sea,844.68
49.6,490.8,Truck,2467.34
5.0,1434.8,Sea,119.51
6.3,59.1,Rail,8.04
24.1,297.6,Air,8992.66
6.7,599.0,Air,5057.66
2.6,1576.2,Truck,415.72
46.3,884.7,Truck,4096.43
40.5,213.9,Truck,876.48
22.1,1801.3,Rail,902.77
43.8,1879.0,Rail,1739.5
18.4,1692.8,Rail,669.35
19.4,676.2,Air,16832.72
47.1,1512.0,Truck,7553.62
12.5,2892.6,Air,44751.62
24.9,2370.0,Sea,924.45
47.0,888.6,Rail,895.8
34.5,2801.8,Air,125754.39
39.1,1403.8,Rail,1158.88
6.9,574.4,Air,4952.8
34.2,164.0,Rail,121.33
34.4,1387.1,Truck,4904.82
2.9,2516.8,Truck,766.62
26.1,474.9,Sea,189.9
10.2,938.7,Sea,150.08
37.0,2051.1,Sea,1274.09
12.0,269.0,Air,3928.49
22.6,268.1,Sea,93.08
12.6,2031.2,Sea,392.39
31.4,920.0,Sea,461.52
32.3,431.7,Sea,217.89
12.2,1911.4,Truck,2448.31
5.9,767.0,Truck,493.21
18.3,2684.8,Air,59510.29
7.0,808.2,Sea,91.04
12.3,740.2,Rail,200.41
45.9,1885.6,Rail,1885.03
3.3,2808.2,Truck,970.65
44.7,1043.2,Rail,1068.67
21.5,1138.2,Air,31713.25
4.6,2512.6,Rail,251.2
10.0,1782.9,Truck,1902.48
16.8,2657.5,Rail,940.68
34.1,2978.7,Sea,1661.65
26.3,1345.8,Air,42460.94
5.1,2084.1,Sea,166.0
21.7,1312.8,Air,35296.73
22.1,1705.1,Sea,625.32
5.9,1127.5,Air,8575.22
18.5,2431.4,Truck,4765.1
10.4,1075.8,Rail,240.74
4.7,1690.1,Rail,177.4
37.8,1000.7,Sea,606.88
41.6,2417.6,Rail,2125.25
39.9,2426.3,Sea,1623.74
5.4,2211.4,Rail,264.61
7.2,135.3,Sea,15.73
5.6,336.7,Sea,29.68
2.9,2116.8,Rail,138.8
37.0,2382.6,Rail,1924.22
24.0,1198.2,Sea,446.43
20.3,681.6,Truck,1500.02
26.2,1651.8,Sea,674.18
2.0,760.3,Sea,25.0
18.1,1436.7,Rail,554.39
21.2,91.5,Sea,30.89
8.8,758.7,Truck,725.09
43.3,1524.9,Sea,1083.18
2.3,262.1,Air,731.66
22.0,1435.4,Sea,497.16
17.4,1937.9,Sea,564.7
33.5,713.5,Sea,389.7
4.3,2151.3,Sea,147.29
14.0,1882.9,Sea,403.44
2.2,2584.0,Sea,88.29
13.7,926.6,Air,16517.91
36.5,678.9,Rail,553.54
49.3,1769.2,Sea,1348.8
19.4,2785.6,Truck,5593.99
28.4,2886.8,Air,104100.76
17.7,1171.4,Truck,2263.32
35.4,2590.9,Air,115263.92
48.5,1107.8,Air,69800.89
38.5,2682.0,Truck,10815.6
19.7,739.5,Truck,1510.09
27.4,1746.4,Rail,1101.57
30.7,1718.0,Truck,5368.53
47.3,1030.3,Sea,791.27
28.0,1988.7,Air,69223.27
31.6,2072.9,Truck,7057.47
39.7,1236.8,Truck,5007.63
6.6,427.1,Rail,60.36
18.1,1881.7,Air,43028.92
28.4,780.6,Rail,472.5
23.1,2757.5,Air,77168.49
2.3,2227.8,Air,6569.65
48.4,1805.4,Sea,1342.87
5.5,1117.8,Rail,128.89
43.3,1734.9,Rail,1605.03
31.9,447.0,Truck,1471.56
2.0,642.6,Sea,20.96
7.7,565.7,Air,5181.21
19.7,156.2,Air,3979.2
26.6,2179.0,Sea,942.3
37.2,1765.7,Air,81322.42
26.9,179.3,Rail,103.73
29.8,1761.0,Sea,847.42
41.0,1555.6,Sea,1020.89
15.9,2807.5,Air,57946.23
9.5,1194.0,Sea,173.12
22.5,2646.5,Sea,972.19
1.8,1178.1,Rail,44.85
30.6,977.6,Rail,667.4
39.1,1457.7,Sea,952.68
40.3,2053.3,Sea,1285.14
28.1,2530.6,Truck,7661.77
15.2,2656.9,Rail,921.67
24.5,659.9,Rail,371.62
12.5,88.9,Sea,17.96
37.1,427.1,Truck,1689.66
21.7,1110.8,Truck,2454.97
21.3,250.9,Air,6396.34
49.2,2383.8,Truck,12151.12
48.4,2547.1,Truck,13479.94
15.1,2425.6,Sea,592.55
45.3,1409.0,Sea,977.83
40.3,894.6,Truck,3624.07
44.3,1495.8,Air,79609.0
43.2,851.3,Rail,822.77
33.2,700.0,Truck,2379.35
10.9,1241.4,Truck,1486.52
6.7,1056.3,Sea,116.4
28.8,1208.9,Sea,557.2
43.7,2533.3,Sea,1701.33
42.1,2308.2,Rail,2095.53
43.8,2969.7,Air,166755.03
20.7,1534.7,Rail,720.25
21.0,450.3,Air,11802.37
30.9,2011.5,Truck,6378.03
38.8,2846.0,Rail,2497.14
27.9,1300.1,Rail,835.28
6.4,1158.2,Sea,121.35
34.8,1436.6,Air,59451.54
34.8,696.7,Sea,405.24
19.2,1446.6,Rail,585.17
49.6,2933.8,Truck,14723.62
14.5,2186.3,Air,40959.53
9.5,1475.6,Truck,1452.14
38.8,1225.7,Truck,5147.25
27.0,1944.5,Rail,1150.23
27.0,1596.8,Air,53103.9
5.7,2678.9,Sea,244.92
26.5,595.4,Rail,358.54
25.9,357.7,Truck,935.56
2.0,947.7,Air,2283.58
10.2,1512.0,Air,19647.97
35.9,1995.7,Rail,1597.97
9.6,1423.3,Sea,220.8
26.4,2357.4,Air,80392.4
17.1,2985.7,Air,65686.14
31.8,165.5,Rail,112.08
14.6,1117.5,Truck,1693.0
49.2,2777.5,Rail,2994.13
20.2,1679.4,Sea,537.58
14.3,2811.1,Truck,4284.36
29.8,1363.0,Truck,4306.47
27.3,2038.1,Air,71569.11
40.3,955.8,Sea,611.94
49.9,2506.1,Sea,1932.41
10.5,1966.5,Air,26983.97
35.9,1893.0,Air,84545.75
43.8,2996.0,Sea,2101.64
2.9,217.0,Rail,13.61
28.1,1965.5,Truck,5845.2
40.8,1268.8,Truck,5424.79
12.9,833.3,Air,13305.48
13.9,484.0,Air,8170.83
6.2,1369.2,Air,10665.92
1.3,2435.0,Rail,70.61
12.5,899.7,Air,14547.14
21.4,2184.0,Rail,1012.14
19.3,1916.5,Sea,580.78
30.7,76.0,Rail,50.81
9.9,2685.4,Air,34400.39
14.1,1212.8,Truck,1792.9
33.6,605.1,Air,25996.3
29.0,600.9,Sea,278.68
3.2,2642.5,Truck,865.24
10.5,1402.5,Rail,332.57
5.1,255.7,Rail,30.09
31.7,533.6,Truck,1764.73
15.9,1036.3,Truck,1754.97
